trial,timestep,S1,S2,M1,M2,H1,H2,H3,H4,block_movement,task_type,block_size,first_sight
0,1,1,1,0,1,0,1,1,1,-1,catch,3,1
0,2,1,0,0,0,0,1,1,1,-1,catch,3,0
0,3,1,0,0,0,0,1,0,1,-1,catch,3,0
0,4,0,0,0,0,0,1,1,1,-1,catch,3,0
0,5,0,0,0,0,0,1,0,0,-1,catch,3,0
0,6,0,0,0,0,1,0,1,1,-1,catch,3,0
0,7,0,0,0,0,1,0,1,1,-1,catch,3,0
0,8,0,0,0,0,1,0,1,1,-1,catch,3,0
0,9,0,0,0,0,1,0,1,1,-1,catch,3,0
0,10,0,0,0,0,1,0,1,1,-1,catch,3,0
0,11,0,0,0,0,1,0,1,1,-1,catch,3,0
0,12,0,0,0,0,1,0,1,1,-1,catch,3,0
0,13,0,0,0,0,1,0,1,1,-1,catch,3,0
0,14,0,0,0,0,1,0,1,1,-1,catch,3,0
0,15,0,1,0,0,1,0,1,1,-1,catch,3,0
0,16,0,1,0,0,0,1,1,1,-1,catch,3,0
0,17,1,1,0,0,0,0,1,0,-1,catch,3,0
0,18,1,0,0,0,0,1,1,0,-1,catch,3,0
0,19,1,0,0,0,1,1,0,1,-1,catch,3,0
0,20,1,0,0,1,1,1,0,1,-1,catch,3,0
0,21,1,0,0,1,1,1,0,1,-1,catch,3,0
0,22,1,0,0,1,1,1,0,1,-1,catch,3,0
0,23,1,0,0,1,1,1,0,1,-1,catch,3,0
0,24,1,0,0,1,1,1,0,1,-1,catch,3,0
0,25,1,0,0,1,1,1,0,1,-1,catch,3,0
0,26,1,0,0,1,1,1,0,1,-1,catch,3,0
0,27,1,0,0,1,1,1,0,1,-1,catch,3,0
0,28,1,0,0,1,1,1,0,1,-1,catch,3,0
0,29,1,0,0,1,1,1,0,1,-1,catch,3,0
0,30,1,0,0,1,1,1,0,1,-1,catch,3,0
0,31,1,0,0,1,1,1,0,1,-1,catch,3,0
0,32,1,0,0,1,1,1,0,1,-1,catch,3,0
0,33,1,0,0,1,1,1,0,1,-1,catch,3,0
1,1,1,0,0,0,0,1,1,1,-1,catch,3,1
1,2,0,0,0,0,0,1,0,1,-1,catch,3,0
1,3,0,0,0,0,0,1,1,1,-1,catch,3,0
1,4,0,0,0,0,0,1,0,0,-1,catch,3,0
1,5,0,0,0,0,1,0,1,1,-1,catch,3,0
1,6,0,0,0,0,1,0,1,1,-1,catch,3,0
1,7,0,0,0,0,1,0,1,1,-1,catch,3,0
1,8,0,0,0,0,1,0,1,1,-1,catch,3,0
1,9,0,0,0,0,1,0,1,1,-1,catch,3,0
1,10,0,0,0,0,1,0,1,1,-1,catch,3,0
1,11,0,0,0,0,1,0,1,1,-1,catch,3,0
1,12,0,0,0,0,1,0,1,1,-1,catch,3,0
1,13,0,1,0,0,1,0,1,1,-1,catch,3,0
1,14,0,1,0,0,0,1,1,1,-1,catch,3,0
1,15,1,1,0,0,0,0,1,0,-1,catch,3,0
1,16,1,0,0,0,0,1,1,0,-1,catch,3,0
1,17,1,0,0,0,1,1,0,1,-1,catch,3,0
1,18,1,0,0,1,1,1,0,1,-1,catch,3,0
1,19,1,0,0,1,1,1,0,1,-1,catch,3,0
1,20,1,0,0,1,1,1,0,1,-1,catch,3,0
1,21,1,0,0,1,1,1,0,1,-1,catch,3,0
1,22,1,0,0,1,1,1,0,1,-1,catch,3,0
1,23,1,0,0,1,1,1,0,1,-1,catch,3,0
1,24,1,0,0,1,1,1,0,1,-1,catch,3,0
1,25,1,0,0,1,1,1,0,1,-1,catch,3,0
1,26,1,0,0,1,1,1,0,1,-1,catch,3,0
1,27,1,0,0,1,1,1,0,1,-1,catch,3,0
1,28,1,0,0,1,1,1,0,1,-1,catch,3,0
1,29,1,0,0,1,1,1,0,1,-1,catch,3,0
1,30,1,0,0,1,1,1,0,1,-1,catch,3,0
1,31,1,0,0,1,1,1,0,1,-1,catch,3,0
1,32,1,0,0,1,1,1,0,1,-1,catch,3,0
1,33,1,0,0,1,1,1,0,1,-1,catch,3,0
2,1,0,0,0,0,0,1,1,1,-1,catch,3,0
2,2,0,0,0,0,0,1,0,0,-1,catch,3,0
2,3,0,0,0,0,1,0,1,1,-1,catch,3,0
2,4,0,0,0,0,1,0,1,1,-1,catch,3,0
2,5,0,0,0,0,1,0,1,1,-1,catch,3,0
2,6,0,0,0,0,1,0,1,1,-1,catch,3,0
2,7,0,0,0,0,1,0,1,1,-1,catch,3,0
2,8,0,0,0,0,1,0,1,1,-1,catch,3,0
2,9,0,0,0,0,1,0,1,1,-1,catch,3,0
2,10,0,0,0,0,1,0,1,1,-1,catch,3,0
2,11,0,0,0,0,1,0,1,1,-1,catch,3,0
2,12,0,1,0,0,1,0,1,1,-1,catch,3,1
2,13,0,1,0,0,0,1,1,1,-1,catch,3,0
2,14,1,1,0,0,0,0,1,0,-1,catch,3,0
2,15,1,0,0,0,0,1,1,0,-1,catch,3,0
2,16,1,0,0,0,1,1,0,1,-1,catch,3,0
2,17,1,0,0,1,1,1,0,1,-1,catch,3,0
2,18,1,0,0,1,1,1,0,1,-1,catch,3,0
2,19,1,0,0,1,1,1,0,1,-1,catch,3,0
2,20,1,0,0,1,1,1,0,1,-1,catch,3,0
2,21,1,0,0,1,1,1,0,1,-1,catch,3,0
2,22,1,0,0,1,1,1,0,1,-1,catch,3,0
2,23,1,0,0,1,1,1,0,1,-1,catch,3,0
2,24,1,0,0,1,1,1,0,1,-1,catch,3,0
2,25,1,0,0,1,1,1,0,1,-1,catch,3,0
2,26,1,0,0,1,1,1,0,1,-1,catch,3,0
2,27,1,0,0,1,1,1,0,1,-1,catch,3,0
2,28,1,0,0,1,1,1,0,1,-1,catch,3,0
2,29,1,0,0,1,1,1,0,1,-1,catch,3,0
2,30,1,0,0,1,1,1,0,1,-1,catch,3,0
2,31,1,0,0,1,1,1,0,1,-1,catch,3,0
2,32,1,0,0,1,1,1,0,1,-1,catch,3,0
2,33,1,0,0,1,1,1,0,1,-1,catch,3,0
3,1,0,0,1,0,0,1,1,1,-1,catch,3,0
3,2,0,0,0,0,0,1,0,0,-1,catch,3,0
3,3,0,0,0,0,1,0,1,1,-1,catch,3,0
3,4,0,0,0,0,1,0,1,1,-1,catch,3,0
3,5,0,0,0,0,1,0,1,1,-1,catch,3,0
3,6,0,0,0,0,1,0,1,1,-1,catch,3,0
3,7,0,0,0,0,1,0,1,1,-1,catch,3,0
3,8,0,0,0,0,1,0,1,1,-1,catch,3,0
3,9,0,0,0,0,1,0,1,1,-1,catch,3,0
3,10,0,1,0,0,1,0,1,1,-1,catch,3,1
3,11,0,1,0,0,0,1,1,1,-1,catch,3,0
3,12,1,1,0,0,0,0,1,0,-1,catch,3,0
3,13,1,0,0,0,0,1,1,0,-1,catch,3,0
3,14,1,0,0,0,1,1,0,1,-1,catch,3,0
3,15,1,0,0,1,1,1,0,1,-1,catch,3,0
3,16,1,0,0,1,1,1,0,1,-1,catch,3,0
3,17,1,0,0,1,1,1,0,1,-1,catch,3,0
3,18,1,0,0,1,1,1,0,1,-1,catch,3,0
3,19,1,0,0,1,1,1,0,1,-1,catch,3,0
3,20,1,0,0,1,1,1,0,1,-1,catch,3,0
3,21,1,0,0,1,1,1,0,1,-1,catch,3,0
3,22,1,0,0,1,1,1,0,1,-1,catch,3,0
3,23,1,0,0,1,1,1,0,1,-1,catch,3,0
3,24,1,0,0,1,1,1,0,1,-1,catch,3,0
3,25,1,0,0,1,1,1,0,1,-1,catch,3,0
3,26,1,0,0,1,1,1,0,1,-1,catch,3,0
3,27,1,0,0,1,1,1,0,1,-1,catch,3,0
3,28,1,0,0,1,1,1,0,1,-1,catch,3,0
3,29,1,0,0,1,1,1,0,1,-1,catch,3,0
3,30,1,0,0,1,1,1,0,1,-1,catch,3,0
3,31,1,0,0,1,1,1,0,1,-1,catch,3,0
3,32,1,0,0,1,1,1,0,1,-1,catch,3,0
3,33,1,0,0,1,1,1,0,1,-1,catch,3,0
4,1,0,0,1,0,0,1,1,1,-1,catch,3,0
4,2,0,0,0,0,0,1,0,0,-1,catch,3,0
4,3,0,0,0,0,1,0,1,1,-1,catch,3,0
4,4,0,0,0,0,1,0,1,1,-1,catch,3,0
4,5,0,0,0,0,1,0,1,1,-1,catch,3,0
4,6,0,0,0,0,1,0,1,1,-1,catch,3,0
4,7,0,0,0,0,1,0,1,1,-1,catch,3,0
4,8,0,0,0,0,1,0,1,1,-1,catch,3,0
4,9,0,1,0,0,1,0,1,1,-1,catch,3,1
4,10,0,1,0,0,0,1,1,1,-1,catch,3,0
4,11,1,1,0,0,0,0,1,0,-1,catch,3,0
4,12,1,0,0,0,0,1,1,0,-1,catch,3,0
4,13,1,0,0,0,1,1,0,1,-1,catch,3,0
