trial,persp_element,persp_timestep,cause_timestep,reader_timestep,cause,reader,strenght
1,1,1,1,2,1,3,0.5000004999990003
1,1,1,1,2,1,6,0.2
1,1,1,1,2,1,8,0.227272
1,1,1,2,3,6,3,0.2999997
1,1,1,2,3,6,5,0.16666800000000004
1,1,1,2,3,6,8,0.5
1,1,1,2,3,8,5,0.16666800000000004
1,1,1,3,4,5,3,0.2999997
1,1,1,3,4,5,5,0.21428699999999995
1,1,1,3,4,5,6,0.333333
1,1,1,3,4,8,5,0.21428699999999995
1,1,1,4,5,5,3,1.0
1,1,1,4,5,5,5,1.0
1,1,1,4,5,5,6,1.0
1,1,1,4,5,6,3,1.0
1,1,1,4,5,6,5,1.0
1,1,1,4,5,6,8,1.0
1,1,1,5,6,5,3,1.0
1,1,1,5,6,5,5,1.0
1,1,1,5,6,5,6,1.0
1,1,1,5,6,6,3,1.0
1,1,1,5,6,6,5,1.0
1,1,1,5,6,6,8,1.0
1,1,1,5,6,8,5,1.0
1,1,1,6,7,5,3,1.0
1,1,1,6,7,5,5,1.0
1,1,1,6,7,5,6,1.0
1,1,1,6,7,6,3,1.0
1,1,1,6,7,6,5,1.0
1,1,1,6,7,6,8,1.0
1,1,1,6,7,8,5,1.0
1,1,1,7,8,5,3,1.0
1,1,1,7,8,5,5,1.0
1,1,1,7,8,5,6,1.0
1,1,1,7,8,6,3,1.0
1,1,1,7,8,6,5,1.0
1,1,1,7,8,6,8,1.0
1,1,1,7,8,8,5,1.0
1,1,1,8,9,5,3,0.2999997
1,1,1,8,9,5,5,0.16666800000000004
1,1,1,8,9,5,6,0.2
1,1,1,8,9,6,3,0.2999997
1,1,1,8,9,6,5,0.16666800000000004
1,1,1,8,9,6,8,0.227272
1,1,1,8,9,8,5,0.16666800000000004
1,1,1,9,10,5,3,0.2999997
1,1,1,9,10,5,5,0.16666800000000004
1,1,1,9,10,5,6,0.333333
1,1,1,9,10,6,3,0.2999997
1,1,1,9,10,6,5,0.16666800000000004
1,1,1,9,10,6,8,0.5
1,1,1,9,10,8,5,0.16666800000000004
1,1,1,10,11,5,3,0.2999997
1,1,1,10,11,5,5,0.16666800000000004
1,1,1,10,11,5,6,0.2
1,1,1,10,11,6,3,0.2999997
1,1,1,10,11,6,5,0.16666800000000004
1,1,1,10,11,6,8,0.5
1,1,1,10,11,8,5,0.16666800000000004
1,1,1,11,12,5,3,0.2999997
1,1,1,11,12,5,5,0.21428699999999995
1,1,1,11,12,5,6,0.2
1,1,1,11,12,5,7,0.5
1,1,1,11,12,6,3,0.2999997
1,1,1,11,12,6,5,0.21428699999999995
1,1,1,11,12,6,8,0.227272
1,1,1,11,12,8,5,0.21428699999999995
1,1,1,12,13,5,3,0.2999997
1,1,1,12,13,5,4,0.5
1,1,1,12,13,5,5,0.21428699999999995
1,1,1,12,13,5,6,0.2
1,1,1,12,13,5,7,0.5
1,1,1,12,13,6,3,0.2999997
1,1,1,12,13,6,5,0.21428699999999995
1,1,1,12,13,6,8,0.227272
1,1,1,12,13,7,7,0.5
1,1,1,12,13,8,5,0.21428699999999995
1,1,1,13,14,5,3,1.0
1,1,1,13,14,5,4,1.0
1,1,1,13,14,5,5,1.0
1,1,1,13,14,5,6,1.0
1,1,1,13,14,5,7,1.0
1,1,1,13,14,6,3,1.0
1,1,1,13,14,6,5,1.0
1,1,1,13,14,6,8,1.0
1,1,1,13,14,7,7,1.0
1,1,1,13,14,8,5,1.0
1,1,1,14,15,5,3,1.0
1,1,1,14,15,5,4,1.0
1,1,1,14,15,5,5,1.0
1,1,1,14,15,5,6,1.0
1,1,1,14,15,5,7,1.0
1,1,1,14,15,6,3,1.0
1,1,1,14,15,6,5,1.0
1,1,1,14,15,6,8,1.0
1,1,1,14,15,7,7,1.0
1,1,1,14,15,8,5,1.0
1,1,1,15,16,5,3,1.0
1,1,1,15,16,5,4,1.0
1,1,1,15,16,5,5,1.0
1,1,1,15,16,5,6,1.0
1,1,1,15,16,5,7,1.0
1,1,1,15,16,6,3,1.0
1,1,1,15,16,6,5,1.0
1,1,1,15,16,6,8,1.0
1,1,1,15,16,7,7,1.0
